"","year","ageGroup","sex","cause","deaths"
"20977",2006,"5 to 9","Female","Congenital anomalies",2
"20979",2007,"20 to 24","Female","Congenital anomalies",2.4
"20980",2007,"65 to 69","Male","Congenital anomalies",1143.8
"20986",2004,"5 to 9","Male","Congenital anomalies",2.2
"20993",2004,"1 to 4","Female","Congenital anomalies",1.2
"20998",2009,"5 to 9","Male","Congenital anomalies",2.8
"20999",2004,"1 to 4","Male","Congenital anomalies",1.7
"21000",2011,"30 to 34","Female","Congenital anomalies",3.9
"21001",2011,"35 to 39","Male","Congenital anomalies",5.7
"21003",2011,"75 to 79","Female","Congenital anomalies",1096.6
"21008",2013,"35 to 39","Female","Congenital anomalies",1.5
"21010",2006,"80 plus","Male","Congenital anomalies",1313.7
"21011",2005,"30 to 34","Female","Congenital anomalies",1.4
"21014",2004,"45 to 49","Male","Congenital anomalies",1.3
"21016",2006,"5 to 9","Male","Congenital anomalies",2.4
"21018",2007,"60 to 64","Male","Congenital anomalies",1403.7
"21020",2006,"15 to 19","Male","Congenital anomalies",1.1
"21021",2007,"65 to 69","Female","Congenital anomalies",974.7
"21022",2007,"70 to 74","Male","Congenital anomalies",1669.6
"21036",2005,"80 plus","Female","Congenital anomalies",946.4
"21037",2008,"30 to 34","Female","Congenital anomalies",3.9
"21038",2008,"70 to 74","Female","Congenital anomalies",1350.3
"21041",2008,"40 to 44","Male","Congenital anomalies",2239.8
"21042",2007,"Post Neonatal","Female","Congenital anomalies",3.6
"21044",2008,"35 to 39","Female","Congenital anomalies",1510
"21046",2004,"35 to 39","Female","Congenital anomalies",1549.1
"21048",2006,"30 to 34","Female","Congenital anomalies",1576.2
"21049",2005,"25 to 29","Female","Congenital anomalies",1
"21050",2005,"30 to 34","Male","Congenital anomalies",0.9
"21052",2009,"70 to 74","Female","Congenital anomalies",1397.4
"21053",2005,"35 to 39","Female","Congenital anomalies",1.3
"21054",2005,"40 to 44","Male","Congenital anomalies",0.9
"21055",2004,"45 to 49","Female","Congenital anomalies",1.5
"21056",2005,"Post Neonatal","Female","Congenital anomalies",79.4
"21058",2006,"10 to 14","Male","Congenital anomalies",2
"21059",2007,"60 to 64","Female","Congenital anomalies",971.8
"21061",2006,"15 to 19","Female","Congenital anomalies",0.9
"21062",2006,"20 to 24","Male","Congenital anomalies",0.8
"21063",2006,"20 to 24","Female","Congenital anomalies",1
"21064",2006,"25 to 29","Male","Congenital anomalies",0.9
"21067",2006,"30 to 34","Female","Congenital anomalies",1.5
"21069",2013,"35 to 39","Female","Congenital anomalies",3.9
"21077",2008,"5 to 9","Male","Congenital anomalies",2.7
"21082",2011,"75 to 79","Male","Congenital anomalies",1641.5
"21083",2010,"30 to 34","Female","Congenital anomalies",1.7
"21086",2013,"30 to 34","Female","Congenital anomalies",1.9
"21087",2009,"Late Neonatal","Male","Congenital anomalies",5.9
"21088",2005,"25 to 29","Male","Congenital anomalies",0.9
"21089",2004,"30 to 34","Male","Congenital anomalies",1429.6
"21095",2005,"40 to 44","Female","Congenital anomalies",1.4
"21096",2006,"Late Neonatal","Female","Congenital anomalies",906.8
"21097",2011,"45 to 49","Male","Congenital anomalies",4672.3
"21099",2006,"10 to 14","Female","Congenital anomalies",2.2
"21105",2006,"25 to 29","Female","Congenital anomalies",1
"21106",2006,"30 to 34","Male","Congenital anomalies",0.9
"21108",2013,"35 to 39","Male","Congenital anomalies",5.8
"21110",2009,"35 to 39","Male","Congenital anomalies",1.1
"21111",2009,"35 to 39","Female","Congenital anomalies",1.4
"21115",2005,"80 plus","Male","Congenital anomalies",1256.3
"21116",2008,"30 to 34","Male","Congenital anomalies",3.3
"21118",2011,"25 to 29","Female","Congenital anomalies",2.4
"21119",2011,"30 to 34","Male","Congenital anomalies",3.5
"21122",2004,"Post Neonatal","Female","Congenital anomalies",3.3
"21125",2007,"Post Neonatal","Male","Congenital anomalies",5
"21127",2013,"35 to 39","Male","Congenital anomalies",1.2
"21128",2006,"35 to 39","Male","Congenital anomalies",2175.1
"21131",2009,"70 to 74","Male","Congenital anomalies",1769.1
"21133",2009,"75 to 79","Male","Congenital anomalies",1543.8
"21134",2009,"75 to 79","Female","Congenital anomalies",1022.3
"21136",2004,"50 to 54","Male","Congenital anomalies",0.3
"21140",2013,"15 to 19","Male","Congenital anomalies",1.7
"21149",2013,"75 to 79","Male","Congenital anomalies",1744.7
"21152",2009,"40 to 44","Male","Congenital anomalies",1
"21160",2011,"70 to 74","Male","Congenital anomalies",1873.3
"21161",2011,"70 to 74","Female","Congenital anomalies",1463.7
"21162",2010,"30 to 34","Male","Congenital anomalies",1
"21164",2013,"25 to 29","Female","Congenital anomalies",1.2
"21165",2013,"30 to 34","Male","Congenital anomalies",1
"21166",2005,"20 to 24","Male","Congenital anomalies",0.9
"21168",2010,"20 to 24","Female","Congenital anomalies",2.3
"21170",2005,"30 to 34","Male","Congenital anomalies",1432.4
"21175",2009,"80 plus","Male","Congenital anomalies",1490.6
"21180",2006,"Post Neonatal","Male","Congenital anomalies",86.7
"21181",2013,"15 to 19","Female","Congenital anomalies",1.6
"21182",2013,"20 to 24","Male","Congenital anomalies",2
"21183",2013,"20 to 24","Female","Congenital anomalies",2.2
"21184",2013,"25 to 29","Male","Congenital anomalies",2.6
"21187",2013,"30 to 34","Female","Congenital anomalies",3.8
"21188",2013,"70 to 74","Female","Congenital anomalies",1498.4
"21189",2012,"25 to 29","Female","Congenital anomalies",1.2
"21190",2013,"75 to 79","Female","Congenital anomalies",1163
"21191",2013,"80 plus","Male","Congenital anomalies",1722.2
"21193",2012,"35 to 39","Female","Congenital anomalies",1.5
"21194",2012,"40 to 44","Male","Congenital anomalies",1
"21195",2008,"25 to 29","Female","Congenital anomalies",2.4
"21197",2008,"70 to 74","Male","Congenital anomalies",1704.9
"21206",2008,"35 to 39","Male","Congenital anomalies",2253.3
"21207",2005,"20 to 24","Female","Congenital anomalies",1
"21210",2009,"65 to 69","Female","Congenital anomalies",1002.3
"21212",2012,"Late Neonatal","Male","Congenital anomalies",676.5
"21225",2013,"25 to 29","Female","Congenital anomalies",2.3
"21226",2013,"30 to 34","Male","Congenital anomalies",3.5
"21228",2012,"25 to 29","Male","Congenital anomalies",0.9
"21229",2008,"10 to 14","Female","Congenital anomalies",2.2
"21230",2012,"30 to 34","Male","Congenital anomalies",1
"21231",2012,"30 to 34","Female","Congenital anomalies",1.8
"21232",2013,"80 plus","Female","Congenital anomalies",1352
"21233",2008,"20 to 24","Female","Congenital anomalies",2.4
"21234",2008,"25 to 29","Male","Congenital anomalies",2.6
"21236",2008,"65 to 69","Female","Congenital anomalies",984.2
"21237",2011,"25 to 29","Male","Congenital anomalies",2.6
"21240",2010,"25 to 29","Male","Congenital anomalies",0.9
"21241",2010,"25 to 29","Female","Congenital anomalies",1.1
"21244",2005,"15 to 19","Male","Congenital anomalies",1.1
"21245",2005,"15 to 19","Female","Congenital anomalies",0.9
"21246",2010,"15 to 19","Female","Congenital anomalies",1.7
"21249",2004,"35 to 39","Male","Congenital anomalies",2084.1
"21251",2007,"Late Neonatal","Male","Congenital anomalies",5.5
"21252",2012,"65 to 69","Female","Congenital anomalies",1040.9
"21254",2012,"70 to 74","Female","Congenital anomalies",1479.8
"21256",2009,"80 plus","Female","Congenital anomalies",1140.5
"21261",2004,"50 to 54","Female","Congenital anomalies",0.4
"21268",2008,"10 to 14","Male","Congenital anomalies",2
"21270",2008,"15 to 19","Male","Congenital anomalies",1.7
"21271",2008,"15 to 19","Female","Congenital anomalies",1.7
"21272",2012,"35 to 39","Male","Congenital anomalies",1.2
"21278",2011,"65 to 69","Male","Congenital anomalies",1245.3
"21279",2011,"65 to 69","Female","Congenital anomalies",1029.3
"21287",2010,"20 to 24","Male","Congenital anomalies",2
"21288",2008,"Late Neonatal","Female","Congenital anomalies",6.5
"21293",2012,"70 to 74","Male","Congenital anomalies",1915.6
"21295",2012,"75 to 79","Male","Congenital anomalies",1693.2
"21297",2012,"40 to 44","Male","Congenital anomalies",6.3
"21300",2008,"45 to 49","Male","Congenital anomalies",1.4
"21302",2004,"55 to 59","Male","Congenital anomalies",0.3
"21304",2006,"Post Neonatal","Female","Congenital anomalies",77.1
"21307",2012,"20 to 24","Female","Congenital anomalies",1.1
"21312",2008,"20 to 24","Male","Congenital anomalies",2
"21315",2011,"20 to 24","Male","Congenital anomalies",2
"21316",2011,"20 to 24","Female","Congenital anomalies",2.3
"21323",2013,"25 to 29","Male","Congenital anomalies",1
"21324",2010,"10 to 14","Female","Congenital anomalies",2.2
"21325",2010,"15 to 19","Male","Congenital anomalies",1.7
"21327",2007,"Late Neonatal","Female","Congenital anomalies",6.4
"21331",2004,"Late Neonatal","Male","Congenital anomalies",4.9
"21332",2005,"1 to 4","Male","Congenital anomalies",6.3
"21338",2012,"40 to 44","Female","Congenital anomalies",5.5
"21339",2008,"40 to 44","Female","Congenital anomalies",1.5
"21345",2012,"15 to 19","Female","Congenital anomalies",1
"21346",2012,"20 to 24","Male","Congenital anomalies",0.9
"21347",2013,"15 to 19","Female","Congenital anomalies",1
"21353",2011,"15 to 19","Male","Congenital anomalies",1.7
"21354",2011,"15 to 19","Female","Congenital anomalies",1.6
"21358",2010,"20 to 24","Male","Congenital anomalies",0.9
"21359",2010,"20 to 24","Female","Congenital anomalies",1.1
"21360",2008,"1 to 4","Female","Congenital anomalies",1.5
"21371",2012,"65 to 69","Male","Congenital anomalies",1258.6
"21376",2012,"75 to 79","Female","Congenital anomalies",1129.6
"21377",2012,"80 plus","Male","Congenital anomalies",1669.7
"21387",2009,"5 to 9","Male","Congenital anomalies",3.1
"21388",2008,"55 to 59","Male","Congenital anomalies",0.3
"21389",2008,"55 to 59","Female","Congenital anomalies",0.4
"21390",2010,"10 to 14","Male","Congenital anomalies",2.3
"21397",2010,"15 to 19","Female","Congenital anomalies",1
"21402",2013,"20 to 24","Female","Congenital anomalies",1.1
"21403",2005,"10 to 14","Female","Congenital anomalies",2.1
"21405",2012,"60 to 64","Male","Congenital anomalies",1777.3
"21407",2004,"Late Neonatal","Female","Congenital anomalies",5.6
"21409",2008,"30 to 34","Female","Congenital anomalies",1653.8
"21411",2008,"Late Neonatal","Male","Congenital anomalies",5.7
"21418",2012,"80 plus","Female","Congenital anomalies",1298.5
"21421",2011,"40 to 44","Female","Congenital anomalies",1.7
"21427",2004,"55 to 59","Female","Congenital anomalies",0.4
"21430",2008,"60 to 64","Male","Congenital anomalies",0.3
"21431",2006,"1 to 4","Male","Congenital anomalies",6.4
"21435",2010,"10 to 14","Female","Congenital anomalies",2.5
"21443",2008,"1 to 4","Male","Congenital anomalies",2.2
"21444",2012,"10 to 14","Female","Congenital anomalies",2.1
"21449",2012,"5 to 9","Female","Congenital anomalies",2.4
"21450",2012,"60 to 64","Female","Congenital anomalies",1141.2
"21451",2007,"30 to 34","Female","Congenital anomalies",1600.1
"21452",2007,"30 to 34","Male","Congenital anomalies",1483.8
"21453",2007,"Early Neonatal","Female","Congenital anomalies",5.9
"21454",2006,"30 to 34","Male","Congenital anomalies",1462.3
"21455",2004,"25 to 29","Female","Congenital anomalies",1228.5
"21463",2012,"45 to 49","Male","Congenital anomalies",1.6
"21465",2008,"45 to 49","Female","Congenital anomalies",1.7
"21466",2008,"50 to 54","Male","Congenital anomalies",0.3
"21467",2008,"50 to 54","Female","Congenital anomalies",0.4
"21472",2006,"1 to 4","Female","Congenital anomalies",5.8
"21473",2004,"60 to 64","Female","Congenital anomalies",0.3
"21476",2010,"15 to 19","Male","Congenital anomalies",1.1
"21480",2009,"5 to 9","Female","Congenital anomalies",2.5
"21481",2013,"20 to 24","Male","Congenital anomalies",0.9
"21482",2005,"10 to 14","Male","Congenital anomalies",2
"21486",2008,"Post Neonatal","Male","Congenital anomalies",5.2
"21492",2012,"5 to 9","Male","Congenital anomalies",3.1
"21493",2004,"Early Neonatal","Female","Congenital anomalies",5.1
"21494",2007,"25 to 29","Female","Congenital anomalies",1181.8
"21495",2005,"1 to 4","Female","Congenital anomalies",5.9
"21502",2012,"40 to 44","Female","Congenital anomalies",1.7
"21503",2013,"40 to 44","Male","Congenital anomalies",1
"21512",2004,"60 to 64","Male","Congenital anomalies",0.3
"21515",2008,"60 to 64","Female","Congenital anomalies",0.3
"21517",2008,"65 to 69","Female","Congenital anomalies",0.2
"21523",2008,"Post Neonatal","Female","Congenital anomalies",3.7
"21530",2008,"30 to 34","Male","Congenital anomalies",1551.1
"21533",2009,"Early Neonatal","Female","Congenital anomalies",6.3
"21534",2008,"Early Neonatal","Female","Congenital anomalies",6.1
"21535",2012,"Early Neonatal","Female","Congenital anomalies",7408.2
"21536",2005,"5 to 9","Male","Congenital anomalies",3
"21540",2009,"15 to 19","Female","Congenital anomalies",1.7
"21541",2009,"20 to 24","Male","Congenital anomalies",2
"21543",2007,"70 to 74","Female","Congenital anomalies",1311.4
"21544",2013,"40 to 44","Female","Congenital anomalies",1.8
"21548",2006,"35 to 39","Male","Congenital anomalies",1.1
"21549",2008,"80 plus","Female","Congenital anomalies",1085.5
"21553",2006,"45 to 49","Female","Congenital anomalies",1.6
"21556",2008,"65 to 69","Male","Congenital anomalies",0.2
"21558",2008,"70 to 74","Male","Congenital anomalies",0.3
"21560",2004,"70 to 74","Male","Congenital anomalies",0.3
"21561",2004,"Post Neonatal","Female","Congenital anomalies",80.3
"21574",2007,"Early Neonatal","Male","Congenital anomalies",5.5
"21577",2009,"10 to 14","Male","Congenital anomalies",2
"21578",2009,"10 to 14","Female","Congenital anomalies",2.2
"21579",2009,"15 to 19","Male","Congenital anomalies",1.7
"21582",2009,"20 to 24","Female","Congenital anomalies",2.4
"21583",2010,"25 to 29","Female","Congenital anomalies",2.4
"21584",2007,"75 to 79","Male","Congenital anomalies",1437.9
"21590",2006,"40 to 44","Male","Congenital anomalies",0.9
"21591",2006,"40 to 44","Female","Congenital anomalies",1.5
"21592",2006,"45 to 49","Male","Congenital anomalies",1.3
"21608",2012,"15 to 19","Male","Congenital anomalies",1.7
"21614",2004,"Early Neonatal","Male","Congenital anomalies",5
"21620",2006,"5 to 9","Male","Congenital anomalies",3
"21621",2005,"5 to 9","Female","Congenital anomalies",2.6
"21622",2010,"25 to 29","Male","Congenital anomalies",2.6
"21623",2005,"10 to 14","Female","Congenital anomalies",2.4
"21624",2010,"30 to 34","Male","Congenital anomalies",3.5
"21625",2010,"30 to 34","Female","Congenital anomalies",3.9
"21626",2010,"35 to 39","Male","Congenital anomalies",5.7
"21627",2010,"35 to 39","Female","Congenital anomalies",4
"21638",2004,"65 to 69","Male","Congenital anomalies",0.2
"21639",2004,"65 to 69","Female","Congenital anomalies",0.2
"21640",2006,"55 to 59","Male","Congenital anomalies",0.3
"21641",2004,"70 to 74","Female","Congenital anomalies",0.3
"21643",2006,"60 to 64","Female","Congenital anomalies",0.3
"21644",2007,"50 to 54","Female","Congenital anomalies",3.3
"21653",2008,"25 to 29","Male","Congenital anomalies",1356.2
"21655",2008,"Early Neonatal","Male","Congenital anomalies",5.7
"21657",2012,"30 to 34","Male","Congenital anomalies",1763.4
"21662",2005,"10 to 14","Male","Congenital anomalies",2
"21663",2006,"10 to 14","Male","Congenital anomalies",2
"21664",2005,"15 to 19","Male","Congenital anomalies",1.8
"21665",2005,"15 to 19","Female","Congenital anomalies",1.9
"21666",2005,"20 to 24","Male","Congenital anomalies",2.1
"21670",2010,"75 to 79","Female","Congenital anomalies",1059.4
"21671",2010,"80 plus","Male","Congenital anomalies",1551.5
"21672",2010,"80 plus","Female","Congenital anomalies",1192.6
"21673",2009,"40 to 44","Female","Congenital anomalies",1.6
"21674",2009,"45 to 49","Male","Congenital anomalies",1.5
"21682",2006,"60 to 64","Male","Congenital anomalies",0.3
"21684",2008,"45 to 49","Male","Congenital anomalies",12.9
"21687",2004,"75 to 79","Male","Congenital anomalies",0.3
"21688",2008,"70 to 74","Female","Congenital anomalies",0.3
"21689",2008,"75 to 79","Male","Congenital anomalies",0.3
"21690",2012,"10 to 14","Male","Congenital anomalies",2
"21692",2008,"25 to 29","Female","Congenital anomalies",1169.6
"21695",2012,"1 to 4","Female","Congenital anomalies",5.3
"21696",2006,"25 to 29","Female","Congenital anomalies",1182.3
"21697",2012,"Early Neonatal","Male","Congenital anomalies",8207
"21698",2004,"20 to 24","Female","Congenital anomalies",1338
"21699",2012,"Early Neonatal","Male","Congenital anomalies",6.3
"21700",2006,"10 to 14","Female","Congenital anomalies",1306.6
"21701",2007,"15 to 19","Female","Congenital anomalies",981
"21702",2006,"5 to 9","Female","Congenital anomalies",2.6
"21703",2004,"1 to 4","Male","Congenital anomalies",6.3
"21713",2005,"25 to 29","Female","Congenital anomalies",2.6
"21714",2005,"30 to 34","Male","Congenital anomalies",3.3
"21715",2005,"30 to 34","Female","Congenital anomalies",3.8
"21717",2005,"35 to 39","Female","Congenital anomalies",4.2
"21718",2006,"50 to 54","Male","Congenital anomalies",0.3
"21719",2006,"50 to 54","Female","Congenital anomalies",0.4
"21721",2006,"55 to 59","Female","Congenital anomalies",0.4
"21725",2007,"55 to 59","Male","Congenital anomalies",6.4
"21726",2007,"55 to 59","Female","Congenital anomalies",5.5
"21728",2007,"60 to 64","Female","Congenital anomalies",6.5
"21729",2007,"65 to 69","Male","Congenital anomalies",10.4
"21732",2007,"70 to 74","Female","Congenital anomalies",15.2
"21735",2012,"1 to 4","Male","Congenital anomalies",6.2
"21736",2005,"25 to 29","Female","Congenital anomalies",1204.1
"21737",2007,"25 to 29","Male","Congenital anomalies",1336.8
"21739",2012,"25 to 29","Female","Congenital anomalies",1202
"21740",2004,"10 to 14","Female","Congenital anomalies",1393
"21748",2004,"5 to 9","Male","Congenital anomalies",3
"21749",2006,"15 to 19","Male","Congenital anomalies",1.8
"21751",2005,"20 to 24","Female","Congenital anomalies",2.6
"21752",2005,"25 to 29","Male","Congenital anomalies",2.7
"21753",2006,"25 to 29","Male","Congenital anomalies",2.6
"21755",2004,"80 plus","Female","Congenital anomalies",899
"21756",2005,"35 to 39","Male","Congenital anomalies",5.4
"21760",2007,"40 to 44","Female","Congenital anomalies",5.5
"21763",2007,"50 to 54","Male","Congenital anomalies",4.4
"21765",2008,"45 to 49","Female","Congenital anomalies",8.7
"21767",2007,"60 to 64","Male","Congenital anomalies",9.7
"21770",2007,"65 to 69","Female","Congenital anomalies",8.1
"21771",2007,"70 to 74","Male","Congenital anomalies",22.2
"21772",2004,"75 to 79","Female","Congenital anomalies",0.2
"21775",2007,"20 to 24","Female","Congenital anomalies",1255.5
"21777",2006,"25 to 29","Male","Congenital anomalies",1325.8
"21782",2006,"10 to 14","Male","Congenital anomalies",1239.8
"21785",2013,"20 to 24","Male","Congenital anomalies",1180.1
"21786",2004,"1 to 4","Female","Congenital anomalies",6.1
"21787",2006,"10 to 14","Female","Congenital anomalies",2.3
"21788",2004,"80 plus","Male","Congenital anomalies",0.2
"21790",2006,"15 to 19","Female","Congenital anomalies",1.8
"21791",2006,"20 to 24","Male","Congenital anomalies",2
"21792",2006,"20 to 24","Female","Congenital anomalies",2.5
"21802",2007,"45 to 49","Female","Congenital anomalies",8.8
"21803",2008,"40 to 44","Female","Congenital anomalies",5.5
"21804",2007,"40 to 44","Female","Congenital anomalies",1.5
"21819",2008,"20 to 24","Female","Congenital anomalies",1238.1
"21823",2004,"10 to 14","Male","Congenital anomalies",1240.3
"21824",2011,"10 to 14","Female","Congenital anomalies",1211.2
"21827",2011,"10 to 14","Male","Congenital anomalies",1266.5
"21830",2004,"5 to 9","Female","Congenital anomalies",2.7
"21839",2007,"40 to 44","Male","Congenital anomalies",6
"21841",2007,"45 to 49","Male","Congenital anomalies",12.7
"21842",2008,"40 to 44","Male","Congenital anomalies",6.1
"21856",2011,"20 to 24","Female","Congenital anomalies",1250.3
"21858",2010,"20 to 24","Female","Congenital anomalies",1253.9
"21861",2007,"20 to 24","Male","Congenital anomalies",1133.2
"21874",2004,"10 to 14","Male","Congenital anomalies",2
"21877",2009,"25 to 29","Female","Congenital anomalies",2.4
"21878",2006,"80 plus","Female","Congenital anomalies",992.6
"21880",2008,"75 to 79","Female","Congenital anomalies",979.7
"21884",2004,"20 to 24","Female","Congenital anomalies",2.7
"21885",2007,"45 to 49","Male","Congenital anomalies",1.4
"21886",2007,"45 to 49","Female","Congenital anomalies",1.6
"21888",2007,"50 to 54","Female","Congenital anomalies",0.4
"21889",2007,"55 to 59","Male","Congenital anomalies",0.3
"21892",2008,"55 to 59","Male","Congenital anomalies",6.4
"21893",2006,"65 to 69","Male","Congenital anomalies",0.2
"21895",2012,"Post Neonatal","Female","Congenital anomalies",65.3
"21898",2010,"20 to 24","Male","Congenital anomalies",1183.9
"21899",2005,"10 to 14","Female","Congenital anomalies",1351.6
"21900",2006,"20 to 24","Male","Congenital anomalies",1123.6
"21901",2007,"15 to 19","Male","Congenital anomalies",1037.9
"21904",2004,"5 to 9","Female","Congenital anomalies",1554.1
"21907",2013,"10 to 14","Male","Congenital anomalies",1249.6
"21913",2004,"80 plus","Female","Congenital anomalies",0.2
"21916",2009,"25 to 29","Male","Congenital anomalies",2.6
"21917",2004,"15 to 19","Male","Congenital anomalies",1.8
"21918",2009,"30 to 34","Male","Congenital anomalies",3.4
"21919",2009,"30 to 34","Female","Congenital anomalies",3.9
"21923",2007,"40 to 44","Male","Congenital anomalies",0.9
"21927",2007,"50 to 54","Male","Congenital anomalies",0.3
"21930",2008,"50 to 54","Male","Congenital anomalies",4.5
"21931",2008,"50 to 54","Female","Congenital anomalies",3.3
"21933",2008,"55 to 59","Female","Congenital anomalies",5.5
"21934",2006,"65 to 69","Female","Congenital anomalies",0.2
"21936",2009,"25 to 29","Female","Congenital anomalies",1188.7
"21938",2013,"25 to 29","Female","Congenital anomalies",1210.5
"21939",2005,"10 to 14","Male","Congenital anomalies",1240.3
"21940",2006,"5 to 9","Female","Congenital anomalies",1481.8
"21941",2004,"5 to 9","Male","Congenital anomalies",1891.9
"21947",2008,"70 to 74","Male","Congenital anomalies",22.1
"21949",2004,"1 to 4","Male","Congenital anomalies",3271.4
"21950",2007,"75 to 79","Male","Congenital anomalies",0.3
"21951",2007,"75 to 79","Female","Congenital anomalies",0.2
"21953",2008,"75 to 79","Female","Congenital anomalies",0.2
"21954",2008,"80 plus","Male","Congenital anomalies",0.2
"21955",2008,"80 plus","Female","Congenital anomalies",0.2
"21956",2004,"10 to 14","Female","Congenital anomalies",2.5
"21958",2004,"15 to 19","Female","Congenital anomalies",2
"21959",2008,"75 to 79","Male","Congenital anomalies",1486.7
"21961",2008,"80 plus","Male","Congenital anomalies",1420.8
"21965",2004,"25 to 29","Male","Congenital anomalies",2.7
"21968",2009,"45 to 49","Female","Congenital anomalies",1.7
"21974",2008,"60 to 64","Male","Congenital anomalies",9.8
"21975",2006,"70 to 74","Male","Congenital anomalies",0.3
"21976",2005,"20 to 24","Female","Congenital anomalies",1296.6
"21980",2010,"15 to 19","Female","Congenital anomalies",918.1
"21981",2011,"20 to 24","Male","Congenital anomalies",1189.3
"21982",2008,"10 to 14","Female","Congenital anomalies",1243
"21984",2013,"15 to 19","Female","Congenital anomalies",872.4
"21985",2011,"5 to 9","Female","Congenital anomalies",1413.4
"21986",2007,"75 to 79","Male","Congenital anomalies",32.5
"21987",2011,"5 to 9","Male","Congenital anomalies",1977.9
"21989",2012,"70 to 74","Male","Congenital anomalies",22.7
"21990",2012,"70 to 74","Female","Congenital anomalies",15
"21991",2012,"75 to 79","Male","Congenital anomalies",33.2
"21992",2012,"75 to 79","Female","Congenital anomalies",17.9
"21993",2004,"60 to 64","Female","Congenital anomalies",6.4
"21994",2004,"65 to 69","Male","Congenital anomalies",9.9
"21995",2004,"65 to 69","Female","Congenital anomalies",8
"22003",2004,"20 to 24","Male","Congenital anomalies",2.1
"22006",2010,"40 to 44","Male","Congenital anomalies",1
"22008",2010,"45 to 49","Male","Congenital anomalies",1.5
"22015",2008,"60 to 64","Female","Congenital anomalies",6.5
"22016",2006,"70 to 74","Female","Congenital anomalies",0.3
"22017",2006,"75 to 79","Male","Congenital anomalies",0.3
"22018",2009,"25 to 29","Male","Congenital anomalies",1385
"22026",2013,"10 to 14","Female","Congenital anomalies",1165.8
"22030",2005,"1 to 4","Male","Congenital anomalies",3284.9
"22031",2004,"55 to 59","Female","Congenital anomalies",5.6
"22032",2004,"60 to 64","Male","Congenital anomalies",9.4
"22040",2008,"80 plus","Female","Congenital anomalies",25.3
"22047",2010,"40 to 44","Female","Congenital anomalies",1.6
"22048",2006,"30 to 34","Male","Congenital anomalies",3.3
"22049",2006,"30 to 34","Female","Congenital anomalies",3.8
"22060",2008,"20 to 24","Male","Congenital anomalies",1156.9
"22061",2009,"20 to 24","Male","Congenital anomalies",1180.1
"22063",2013,"25 to 29","Male","Congenital anomalies",1457.2
"22064",2013,"15 to 19","Male","Congenital anomalies",1029.9
"22065",2006,"5 to 9","Male","Congenital anomalies",1887.6
"22066",2008,"65 to 69","Female","Congenital anomalies",8
"22068",2012,"65 to 69","Female","Congenital anomalies",7.9
"22069",2004,"50 to 54","Female","Congenital anomalies",3.4
"22070",2004,"55 to 59","Male","Congenital anomalies",6.2
"22073",2011,"70 to 74","Female","Congenital anomalies",0.3
"22074",2011,"75 to 79","Male","Congenital anomalies",0.4
"22075",2011,"75 to 79","Female","Congenital anomalies",0.2
"22084",2010,"75 to 79","Male","Congenital anomalies",33
"22087",2006,"25 to 29","Female","Congenital anomalies",2.5
"22090",2006,"35 to 39","Male","Congenital anomalies",5.4
"22091",2006,"35 to 39","Female","Congenital anomalies",4.1
"22094",2007,"55 to 59","Female","Congenital anomalies",0.4
"22098",2004,"20 to 24","Male","Congenital anomalies",1136.6
"22099",2008,"15 to 19","Female","Congenital anomalies",940.4
"22105",2008,"65 to 69","Male","Congenital anomalies",10.5
"22106",2004,"1 to 4","Female","Congenital anomalies",2870.6
"22112",2013,"5 to 9","Female","Congenital anomalies",1360.7
"22113",2012,"70 to 74","Male","Congenital anomalies",0.3
"22114",2012,"70 to 74","Female","Congenital anomalies",0.3
"22115",2012,"75 to 79","Male","Congenital anomalies",0.4
"22116",2011,"80 plus","Male","Congenital anomalies",0.3
"22117",2012,"80 plus","Male","Congenital anomalies",0.3
"22118",2012,"80 plus","Female","Congenital anomalies",0.2
"22131",2012,"45 to 49","Female","Congenital anomalies",1.9
"22132",2013,"45 to 49","Male","Congenital anomalies",1.6
"22135",2007,"60 to 64","Male","Congenital anomalies",0.3
"22142",2010,"15 to 19","Male","Congenital anomalies",1040.7
"22143",2011,"15 to 19","Female","Congenital anomalies",905.9
"22144",2005,"5 to 9","Female","Congenital anomalies",1517.1
"22147",2012,"15 to 19","Male","Congenital anomalies",1037
"22148",2004,"50 to 54","Male","Congenital anomalies",4.4
"22151",2004,"Post Neonatal","Male","Congenital anomalies",10922.4
"22152",2011,"70 to 74","Male","Congenital anomalies",0.3
"22153",2013,"5 to 9","Male","Congenital anomalies",1937
"22154",2013,"65 to 69","Female","Congenital anomalies",0.3
"22155",2013,"70 to 74","Male","Congenital anomalies",0.4
"22156",2012,"75 to 79","Female","Congenital anomalies",0.2
"22157",2013,"75 to 79","Male","Congenital anomalies",0.4
"22158",2013,"75 to 79","Female","Congenital anomalies",0.2
"22162",2008,"70 to 74","Female","Congenital anomalies",15.1
"22163",2005,"80 plus","Male","Congenital anomalies",0.2
"22165",2006,"75 to 79","Female","Congenital anomalies",0.2
"22172",2007,"75 to 79","Female","Congenital anomalies",943.2
"22173",2013,"45 to 49","Female","Congenital anomalies",1.9
"22176",2007,"60 to 64","Female","Congenital anomalies",0.3
"22179",2007,"70 to 74","Male","Congenital anomalies",0.3
"22180",2007,"70 to 74","Female","Congenital anomalies",0.3
"22185",2005,"65 to 69","Female","Congenital anomalies",0.2
